rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
79,1.1833000183105469,71.66670227050781,16034.12847222222,0.251,69,JH,10
80,17.251800537109375,70.33519744873047,15999.681944444443,6.507000000000001,70,JH,77
81,17.21030044555664,70.17400360107422,16003.471527777778,,70,JH,76
82,17.661699295043945,69.99629974365234,16003.549305555556,,70,JH,79
83,16.704500198364258,69.93569946289062,16003.65277777778,,70,JH,75
84,17.349700927734375,69.89830017089844,16003.74513888889,,70,JH,78
85,17.84980010986328,69.78970336914062,16003.799305555556,,70,JH,80
86,16.65880012512207,69.66179656982422,16003.954861111111,,70,JH,74
87,16.63629913330078,69.5022964477539,16004.00763888889,,70,JH,73
88,16.19729995727539,69.6906967163086,16004.158333333333,,70,JH,72
89,15.90429973602295,69.63919830322266,16004.31597222222,,70,JH,71
90,15.820699691772461,69.46050262451172,16004.422222222223,,70,JH,70
91,15.214300155639648,69.33470153808594,16004.570833333333,,70,JH,69
92,15.206999778747559,69.16280364990234,16004.635416666666,,70,JH,68
93,13.706999778747559,69.02179718017578,16004.821527777778,7.397,70,JH,66
94,14.3572998046875,68.83999633789062,16004.902083333334,,70,JH,67
95,12.60569953918457,68.6709976196289,16005.157638888888,,70,JH,64
96,13.66450023651123,68.37979888916016,16005.301388888889,,70,JH,65
97,12.239999771118164,67.74099731445312,16006.4,,70,JH,63
98,11.869999885559082,68.16169738769531,16006.590972222222,,70,JH,62
99,11.306300163269043,68.37429809570312,16006.736805555556,,70,JH,60
100,10.563199996948242,68.11530303955078,16006.90138888889,,70,JH,57
101,11.447699546813965,67.47329711914062,16007.113888888889,,70,JH,61
102,10.394200325012207,67.50270080566406,16007.300000000001,,70,JH,55
103,10.992799758911133,67.09970092773438,16007.441666666666,,70,JH,59
104,10.612700462341309,66.56999969482422,16007.576388888889,,70,JH,58
105,9.350299835205078,66.34030151367188,16007.71388888889,,70,JH,52
106,9.574000358581543,65.92849731445312,16007.844444444445,,70,JH,53
107,9.88379955291748,65.33679962158203,16007.991666666667,,70,JH,54
108,10.490300178527832,65.20349884033203,16008.149305555555,,70,JH,56
109,9.286700248718262,65.0062026977539,16008.324305555556,,70,JH,51
110,8.557000160217285,64.87419891357422,16008.925694444444,,70,JH,47
111,9.139699935913086,64.59600067138672,16009.03125,,70,JH,50
112,8.635000228881836,64.53130340576172,16009.155555555555,,70,JH,48
113,8.635499954223633,64.38729858398438,16009.261805555556,,70,JH,49
114,7.521999835968018,63.83570098876953,16009.44097222222,,70,JH,46
115,7.430300235748291,63.67020034790039,16009.488194444444,,70,JH,45
116,6.7932000160217285,63.125301361083984,16010.815277777778,,70,JH,44
117,6.28249979019165,63.257198333740234,16011.033333333333,,70,JH,41
118,5.513199806213379,63.31520080566406,16011.18402777778,,70,JH,38
119,6.456699848175049,63.08879852294922,16011.4375,,70,JH,43
120,6.322299957275391,62.86980056762695,16011.548611111111,,70,JH,42
121,5.734300136566162,63.00120162963867,16011.718055555555,,70,JH,39
122,5.309500217437744,63.0968017578125,16011.778472222222,,70,JH,37
123,5.745800018310547,62.617801666259766,16012.142361111111,,70,JH,40
124,4.877200126647949,62.81669998168945,16012.356944444444,,70,JH,33
125,4.378799915313721,62.74769973754883,16012.425694444444,,70,JH,27
126,4.539000034332275,62.50019836425781,16012.825694444444,,70,JH,30
127,3.65120005607605,62.51649856567383,16013.002083333333,,70,JH,19
128,4.82420015335083,62.250999450683594,16013.239583333334,,70,JH,32
129,3.9172000885009766,62.17150115966797,16013.346527777778,,70,JH,22
130,4.393700122833252,61.88819885253906,16013.484722222223,,70,JH,28
131,5.199999809265137,62.36669921875,16016.271527777777,,70,JH,36
132,4.933300018310547,62.483299255371094,16016.345138888888,,70,JH,34
133,4.683300018310547,62.599998474121094,16016.697916666666,,70,JH,31
134,4.433300018310547,62.71670150756836,16016.750694444445,,70,JH,29
135,4.316699981689453,62.78329849243164,16016.797916666668,,70,JH,26
136,4.183300018310547,62.83330154418945,16016.8375,7.9830000000000005,70,JH,25
137,4.050000190734863,62.891700744628906,16016.895833333334,6.636,70,JH,23
138,3.9166998863220215,62.95000076293945,16016.94513888889,5.063,70,JH,21
139,3.6666998863220215,63.06669998168945,16017.019444444444,6.36,70,JH,20
140,3.4000000953674316,63.19169998168945,16017.085416666667,6.375,70,JH,18
141,3.0999999046325684,63.31669998168945,16017.157638888888,6.458,70,JH,16
142,2.816699981689453,63.45000076293945,16017.231944444444,6.765000000000001,70,JH,15
143,2.25,63.70000076293945,16017.363888888889,6.797,70,JH,14
144,1.6833000183105469,63.95000076293945,16017.49652777778,2.5060000000000002,70,JH,11
145,1.1332999467849731,64.17500305175781,16017.627083333333,2.5060000000000002,70,JH,9
146,0.5666999816894531,64.42500305175781,16017.772222222222,1.541,70,JH,8
147,0.0,64.66670227050781,16017.923611111111,2.364,70,JH,7
148,-0.8334000110626221,65.0,16018.931944444443,1.493,70,JH,6
149,-2.0000998973846436,65.0,16019.167361111111,1.31,70,JH,4
150,-3.150099992752075,65.0,16019.40277777778,1.464,70,JH,2
151,-3.8833999633789062,70.80829620361328,16031.925694444444,2.243,70,JH,1
152,-2.9333999156951904,70.4000015258789,16032.134027777778,0.929,70,JH,3
153,-1.833400011062622,70.0,16032.361111111111,4.555,70,JH,5
154,1.75,70.0333023071289,16032.90277777778,4.61,70,JH,12
155,5.0,70.0,16033.19513888889,4.541,70,JH,35
156,4.066699981689453,70.41670227050781,16033.46388888889,4.605,70,JH,24
157,3.1333000659942627,70.83329772949219,16033.669444444444,4.563,70,JH,17
158,2.1666998863220215,71.25,16033.918749999999,4.502,70,JH,13
159,1.1833000183105469,71.66670227050781,16034.12847222222,0.242,70,JH,10
160,17.251800537109375,70.33519744873047,15999.681944444443,,71,JH,77
161,17.21030044555664,70.17400360107422,16003.471527777778,,71,JH,76
162,17.661699295043945,69.99629974365234,16003.549305555556,,71,JH,79
163,16.704500198364258,69.93569946289062,16003.65277777778,,71,JH,75
164,17.349700927734375,69.89830017089844,16003.74513888889,,71,JH,78
165,17.84980010986328,69.78970336914062,16003.799305555556,,71,JH,80
166,16.65880012512207,69.66179656982422,16003.954861111111,,71,JH,74
167,16.63629913330078,69.5022964477539,16004.00763888889,,71,JH,73
168,16.19729995727539,69.6906967163086,16004.158333333333,,71,JH,72
169,15.90429973602295,69.63919830322266,16004.31597222222,,71,JH,71
170,15.820699691772461,69.46050262451172,16004.422222222223,,71,JH,70
171,15.214300155639648,69.33470153808594,16004.570833333333,,71,JH,69
172,15.206999778747559,69.16280364990234,16004.635416666666,,71,JH,68
173,13.706999778747559,69.02179718017578,16004.821527777778,7.397,71,JH,66
174,14.3572998046875,68.83999633789062,16004.902083333334,,71,JH,67
175,12.60569953918457,68.6709976196289,16005.157638888888,,71,JH,64
176,13.66450023651123,68.37979888916016,16005.301388888889,,71,JH,65
177,12.239999771118164,67.74099731445312,16006.4,,71,JH,63
178,11.869999885559082,68.16169738769531,16006.590972222222,,71,JH,62
179,11.306300163269043,68.37429809570312,16006.736805555556,,71,JH,60
180,10.563199996948242,68.11530303955078,16006.90138888889,,71,JH,57
181,11.447699546813965,67.47329711914062,16007.113888888889,,71,JH,61
182,10.394200325012207,67.50270080566406,16007.300000000001,,71,JH,55
183,10.992799758911133,67.09970092773438,16007.441666666666,,71,JH,59
184,10.612700462341309,66.56999969482422,16007.576388888889,,71,JH,58
185,9.350299835205078,66.34030151367188,16007.71388888889,,71,JH,52
186,9.574000358581543,65.92849731445312,16007.844444444445,,71,JH,53
187,9.88379955291748,65.33679962158203,16007.991666666667,,71,JH,54
188,10.490300178527832,65.20349884033203,16008.149305555555,,71,JH,56
